neuron_id,pc1,pc2,cluster,region
187,0,-954.628,2,SENSORY
188,0,-954.628,2,SENSORY
189,0,-954.628,2,SENSORY
190,0,-954.628,2,SENSORY
191,0,-954.628,2,SENSORY
192,0,-958.675,7,SENSORY
193,0,-954.628,2,SENSORY
194,0,-954.628,2,SENSORY
195,0,-954.628,2,SENSORY
196,0,-954.628,2,SENSORY
197,0,-954.628,2,SENSORY
198,0,-954.628,2,SENSORY
199,0,-954.628,2,SENSORY
200,0,-954.628,2,SENSORY
201,0,-954.628,2,SENSORY
202,0,-954.628,2,SENSORY
203,0,-954.628,2,SENSORY
204,0,-954.628,2,SENSORY
205,0,-954.628,2,SENSORY
206,0,-954.628,2,SENSORY
207,0,-954.628,2,SENSORY
208,0,-954.628,2,SENSORY
209,0,-954.628,2,SENSORY
210,0,-954.628,2,SENSORY
211,0,-954.628,2,SENSORY
212,0,-954.628,2,SENSORY
213,0,-954.628,2,SENSORY
214,0,-954.628,2,SENSORY
215,0,-954.628,2,SENSORY
216,0,-954.628,2,SENSORY
217,0,-954.628,2,SENSORY
218,0,-954.628,2,SENSORY
219,0,-954.628,2,SENSORY
220,0,-954.628,2,SENSORY
221,0,-954.628,2,SENSORY
222,0,-954.628,2,SENSORY
223,0,-954.628,2,SENSORY
224,0,-954.628,2,SENSORY
225,0,-954.628,2,SENSORY
226,0,-954.628,2,SENSORY
227,0,-954.628,2,SENSORY
228,0,-954.628,2,SENSORY
229,0,-954.628,2,SENSORY
230,0,-954.628,2,SENSORY
231,0,-954.628,2,SENSORY
232,0,-954.628,2,SENSORY
233,0,-954.628,2,SENSORY
234,0,-958.675,7,SENSORY
235,0,-954.628,2,SENSORY
236,0,-954.628,2,SENSORY
237,0,-954.628,2,SENSORY
238,0,-954.628,2,SENSORY
239,0,-954.628,2,SENSORY
240,0,-954.628,2,SENSORY
241,0,-954.628,2,SENSORY
242,0,-954.628,2,SENSORY
243,0,-954.628,2,SENSORY
244,0,-954.628,2,SENSORY
245,0,-954.628,2,SENSORY
246,0,-957.726,0,SENSORY
247,0,-954.628,2,SENSORY
248,0,-954.628,2,SENSORY
249,0,-954.628,2,SENSORY
250,0,-954.628,2,SENSORY
251,0,-954.628,2,SENSORY
252,0,-954.628,2,SENSORY
253,0,-954.628,2,SENSORY
254,0,-954.628,2,SENSORY
255,0,-954.628,2,SENSORY
256,0,-954.628,2,SENSORY
257,0,-954.628,2,SENSORY
258,0,-954.628,2,SENSORY
259,0,-954.628,2,SENSORY
260,0,-954.628,2,SENSORY
261,0,-954.628,2,SENSORY
262,0,-954.628,2,SENSORY
263,0,-958.675,7,SENSORY
264,0,-954.628,2,SENSORY
265,0,-954.628,2,SENSORY
266,0,-954.628,2,SENSORY
267,0,-954.628,2,SENSORY
268,0,-958.675,7,SENSORY
269,0,-958.675,7,SENSORY
270,0,-954.628,2,SENSORY
271,0,-954.628,2,SENSORY
272,0,-954.628,2,SENSORY
273,0,-954.628,2,SENSORY
274,0,-954.628,2,SENSORY
275,0,-954.628,2,SENSORY
276,0,-954.628,2,SENSORY
277,0,-954.628,2,SENSORY
278,0,-954.628,2,SENSORY
279,0,-958.675,7,SENSORY
280,0,-954.628,2,SENSORY
281,0,-954.628,2,SENSORY
282,0,-954.628,2,SENSORY
283,0,-954.628,2,SENSORY
284,0,-954.628,2,SENSORY
285,0,-954.628,2,SENSORY
286,0,-954.628,2,SENSORY
287,0,-957.726,0,SENSORY
288,0,-954.628,2,SENSORY
289,0,-954.628,2,SENSORY
290,0,-954.628,2,SENSORY
291,0,-954.628,2,SENSORY
292,0,-954.628,2,SENSORY
293,0,-954.628,2,SENSORY
294,0,-954.628,2,SENSORY
295,0,-954.628,2,SENSORY
296,0,-954.628,2,SENSORY
297,0,-954.628,2,SENSORY
298,0,-954.628,2,SENSORY
299,0,-954.628,2,SENSORY
300,0,-954.628,2,SENSORY
301,0,-954.628,2,SENSORY
302,0,-954.628,2,SENSORY
303,0,-954.628,2,SENSORY
304,0,-954.628,2,SENSORY
305,0,-954.628,2,SENSORY
306,0,-954.628,2,SENSORY
307,0,-954.628,2,SENSORY
308,0,-954.628,2,SENSORY
309,0,-954.628,2,SENSORY
310,0,-954.628,2,SENSORY
311,0,-954.628,2,SENSORY
312,0,-954.628,2,SENSORY
313,0,-954.628,2,SENSORY
314,0,-954.628,2,SENSORY
315,0,-954.628,2,SENSORY
316,0,-954.628,2,SENSORY
317,0,-954.628,2,SENSORY
318,0,-954.628,2,SENSORY
319,0,-954.628,2,SENSORY
320,0,-954.628,2,SENSORY
321,0,-954.628,2,SENSORY
322,0,-954.628,2,SENSORY
323,0,-954.628,2,SENSORY
324,0,-954.628,2,SENSORY
325,0,-954.628,2,SENSORY
326,0,-954.628,2,SENSORY
327,0,-954.628,2,SENSORY
328,0,-954.628,2,SENSORY
329,0,-954.628,2,SENSORY
330,0,-954.628,2,SENSORY
331,0,-954.628,2,SENSORY
332,0,-954.628,2,SENSORY
333,0,-954.628,2,SENSORY
334,0,-954.628,2,SENSORY
335,0,-954.628,2,SENSORY
336,0,-954.628,2,SENSORY
337,0,-954.628,2,SENSORY
338,0,-954.628,2,SENSORY
339,0,-958.675,7,SENSORY
340,0,-958.675,7,SENSORY
341,0,-958.675,7,SENSORY
342,0,-954.628,2,SENSORY
343,0,-954.628,2,SENSORY
344,0,-954.628,2,SENSORY
345,0,-954.628,2,SENSORY
346,0,-954.628,2,SENSORY
347,0,-954.628,2,SENSORY
348,0,-954.628,2,SENSORY
349,0,-954.628,2,SENSORY
350,0,-954.628,2,SENSORY
351,0,-954.628,2,SENSORY
352,0,-954.628,2,SENSORY
353,0,-954.628,2,SENSORY
354,0,-954.628,2,SENSORY
355,0,-954.628,2,SENSORY
356,0,-954.628,2,SENSORY
357,0,-954.628,2,SENSORY
358,0,-954.628,2,SENSORY
359,0,-957.726,0,SENSORY
360,0,-954.628,2,SENSORY
361,0,-954.628,2,SENSORY
362,0,-954.628,2,SENSORY
363,0,-954.628,2,SENSORY
364,0,-954.628,2,SENSORY
365,0,-954.628,2,SENSORY
366,0,-958.675,7,SENSORY
367,0,-954.628,2,SENSORY
368,0,-954.628,2,SENSORY
369,0,-954.628,2,SENSORY
370,0,-954.628,2,SENSORY
371,0,-954.628,2,SENSORY
372,0,-954.628,2,SENSORY
373,0,-954.628,2,SENSORY
374,0,-954.628,2,SENSORY
375,0,-954.628,2,SENSORY
376,0,-954.628,2,SENSORY
377,0,-954.628,2,SENSORY
378,0,-954.628,2,SENSORY
379,0,-954.628,2,SENSORY
380,0,-954.628,2,SENSORY
381,0,-954.628,2,SENSORY
382,0,-954.628,2,SENSORY
383,0,-954.628,2,SENSORY
384,0,-954.628,2,SENSORY
385,0,-954.628,2,SENSORY
386,0,-954.628,2,SENSORY
