neuron_id,pc1,pc2,cluster,region
189,0,-0.961139,1,SENSORY
190,0,-0.961139,1,SENSORY
191,0,0,1,SENSORY
192,0,-0.0329936,1,SENSORY
193,0,-1.8341,1,SENSORY
194,0,0,1,SENSORY
195,0,-0.917052,1,SENSORY
196,0,-0.917052,1,SENSORY
197,0,0,1,SENSORY
198,0,-0.0281839,1,SENSORY
199,0,-0.917052,1,SENSORY
200,0,-0.0281839,1,SENSORY
201,0,-0.917052,1,SENSORY
202,0,-0.917052,1,SENSORY
203,0,-0.961139,1,SENSORY
204,0,0,1,SENSORY
205,0,-0.917052,1,SENSORY
206,0,0,1,SENSORY
207,0,-0.917052,1,SENSORY
208,0,-1.8452,1,SENSORY
209,0,0,1,SENSORY
210,0,-1.8341,1,SENSORY
211,0,-1.8341,1,SENSORY
212,0,-0.961139,1,SENSORY
213,0,-0.917052,1,SENSORY
214,0,0,1,SENSORY
215,0,0,1,SENSORY
216,0,0,1,SENSORY
217,0,-0.961139,1,SENSORY
218,0,-0.0281839,1,SENSORY
219,0,0,1,SENSORY
220,0,0,1,SENSORY
221,0,0,1,SENSORY
222,0,-1.8341,1,SENSORY
223,0,0,1,SENSORY
224,0,0,1,SENSORY
225,0,-0.961139,1,SENSORY
226,0,-0.961139,1,SENSORY
227,0,0,1,SENSORY
228,0,-0.961139,1,SENSORY
229,0,-0.961139,1,SENSORY
230,0,0,1,SENSORY
231,0,0,1,SENSORY
232,0,-0.917052,1,SENSORY
233,0,-0.961139,1,SENSORY
234,0,-0.950045,1,SENSORY
235,0,0,1,SENSORY
236,0,-0.961139,1,SENSORY
237,0,-1.8341,1,SENSORY
238,0,-0.0281839,1,SENSORY
239,0,-0.0329936,1,SENSORY
240,0,0,1,SENSORY
241,0,-0.961139,1,SENSORY
242,0,0,1,SENSORY
243,0,0,1,SENSORY
244,0,-0.0281839,1,SENSORY
245,0,-0.917052,1,SENSORY
246,0,-0.917052,1,SENSORY
247,0,-0.961139,1,SENSORY
248,0,-0.917052,1,SENSORY
249,0,-0.961139,1,SENSORY
250,0,-1.8341,1,SENSORY
251,0,-0.950045,1,SENSORY
252,0,0,1,SENSORY
253,0,-0.917052,1,SENSORY
254,0,0,1,SENSORY
255,0,-0.961139,1,SENSORY
256,0,-0.0281839,1,SENSORY
257,0,0,1,SENSORY
258,0,-1.8341,1,SENSORY
259,0,-0.961139,1,SENSORY
260,0,-0.961139,1,SENSORY
261,0,-0.0329936,1,SENSORY
262,0,-1.8341,1,SENSORY
263,0,-0.917052,1,SENSORY
264,0,0,1,SENSORY
265,0,-0.0281839,1,SENSORY
266,0,-0.961139,1,SENSORY
267,0,0,1,SENSORY
268,0,-0.961139,1,SENSORY
269,0,-0.917052,1,SENSORY
270,0,-0.0281839,1,SENSORY
271,0,-1.8341,1,SENSORY
272,0,-0.917052,1,SENSORY
273,0,0,1,SENSORY
274,0,-0.917052,1,SENSORY
275,0,-0.917052,1,SENSORY
276,0,-0.961139,1,SENSORY
277,0,-0.961139,1,SENSORY
278,0,-0.961139,1,SENSORY
279,0,-0.0281839,1,SENSORY
280,0,-0.917052,1,SENSORY
281,0,-0.917052,1,SENSORY
282,0,-1.8341,1,SENSORY
283,0,0,1,SENSORY
284,0,-0.961139,1,SENSORY
285,0,-0.961139,1,SENSORY
286,0,0,1,SENSORY
287,0,0,1,SENSORY
288,0,-0.917052,1,SENSORY
289,0,-0.961139,1,SENSORY
290,0,-0.961139,1,SENSORY
291,0,0,1,SENSORY
292,0,-0.961139,1,SENSORY
293,0,-0.961139,1,SENSORY
294,0,-0.0281839,1,SENSORY
295,0,-0.917052,1,SENSORY
296,0,-0.917052,1,SENSORY
297,0,-0.917052,1,SENSORY
298,0,0,1,SENSORY
299,0,-0.0281839,1,SENSORY
300,0,0,1,SENSORY
301,0,0,1,SENSORY
302,0,0,1,SENSORY
303,0,0,1,SENSORY
304,0,-0.917052,1,SENSORY
305,0,-0.961139,1,SENSORY
306,0,-0.961139,1,SENSORY
307,0,-0.917052,1,SENSORY
308,0,0,1,SENSORY
309,0,-0.950045,1,SENSORY
310,0,0,1,SENSORY
311,0,-0.917052,1,SENSORY
312,0,-0.961139,1,SENSORY
313,0,0,1,SENSORY
314,0,-0.961139,1,SENSORY
315,0,-0.961139,1,SENSORY
316,0,-0.917052,1,SENSORY
317,0,0,1,SENSORY
318,0,-1.01208,1,SENSORY
319,0,0,1,SENSORY
320,0,-0.961139,1,SENSORY
321,0,-0.961139,1,SENSORY
322,0,-0.961139,1,SENSORY
323,0,0,1,SENSORY
324,0,0,1,SENSORY
325,0,-0.961139,1,SENSORY
326,0,-0.961139,1,SENSORY
327,0,0,1,SENSORY
328,0,-0.961139,1,SENSORY
329,0,-1.8341,1,SENSORY
330,0,-0.917052,1,SENSORY
331,0,-0.961139,1,SENSORY
332,0,-1.8341,1,SENSORY
333,0,0,1,SENSORY
334,0,-0.917052,1,SENSORY
335,0,-0.961139,1,SENSORY
336,0,0,1,SENSORY
337,0,0,1,SENSORY
338,0,-1.8341,1,SENSORY
339,0,-0.961139,1,SENSORY
340,0,-0.0329936,1,SENSORY
341,0,-0.961139,1,SENSORY
342,0,0,1,SENSORY
343,0,-0.917052,1,SENSORY
344,0,-0.0281839,1,SENSORY
345,0,0,1,SENSORY
346,0,-0.0281839,1,SENSORY
347,0,-1.01208,1,SENSORY
348,0,-0.0281839,1,SENSORY
349,0,-0.961139,1,SENSORY
350,0,0,1,SENSORY
351,0,0,1,SENSORY
352,0,-0.961139,1,SENSORY
353,0,-0.961139,1,SENSORY
354,0,-0.961139,1,SENSORY
355,0,0,1,SENSORY
356,0,-0.961139,1,SENSORY
357,0,0,1,SENSORY
358,0,0,1,SENSORY
359,0,-0.961139,1,SENSORY
360,0,0,1,SENSORY
361,0,-0.961139,1,SENSORY
362,0,0,1,SENSORY
363,0,-0.917052,1,SENSORY
364,0,0,1,SENSORY
365,0,-0.917052,1,SENSORY
366,0,-0.961139,1,SENSORY
367,0,0,1,SENSORY
368,0,-0.917052,1,SENSORY
369,0,0,1,SENSORY
370,0,0,1,SENSORY
371,0,0,1,SENSORY
372,0,-0.917052,1,SENSORY
373,0,0,1,SENSORY
374,0,-0.917052,1,SENSORY
375,0,-0.961139,1,SENSORY
376,0,0,1,SENSORY
377,0,-0.917052,1,SENSORY
378,0,-1.8452,1,SENSORY
379,0,-0.961139,1,SENSORY
380,0,-0.961139,1,SENSORY
381,0,0,1,SENSORY
382,0,-0.0281839,1,SENSORY
383,0,-1.8341,1,SENSORY
384,0,0,1,SENSORY
385,0,-0.0281839,1,SENSORY
386,0,-0.961139,1,SENSORY
387,0,-0.961139,1,SENSORY
388,0,-0.961139,1,SENSORY
389,0,-1.8341,1,SENSORY
390,0,-0.917052,1,SENSORY
391,0,0,1,SENSORY
392,0,-0.917052,1,SENSORY
393,0,-0.950045,1,SENSORY
394,0,-0.917052,1,SENSORY
395,0,0,1,SENSORY
396,0,0,1,SENSORY
397,0,0,1,SENSORY
398,0,0,1,SENSORY
399,0,0,1,SENSORY
400,0,-0.0281839,1,SENSORY
401,0,-0.928145,1,SENSORY
402,0,0,1,SENSORY
403,0,0,1,SENSORY
404,0,-0.961139,1,SENSORY
405,0,-0.961139,1,SENSORY
406,0,-1.8341,1,SENSORY
407,0,0,1,SENSORY
408,0,-0.950045,1,SENSORY
409,0,0,1,SENSORY
410,0,-0.961139,1,SENSORY
411,0,-0.917052,1,SENSORY
412,0,-0.0281839,1,SENSORY
413,0,-1.01208,1,SENSORY
414,0,0,1,SENSORY
415,0,0,1,SENSORY
416,0,-0.917052,1,SENSORY
417,0,-0.917052,1,SENSORY
418,0,-0.961139,1,SENSORY
419,0,-0.917052,1,SENSORY
420,0,0,1,SENSORY
421,0,-0.917052,1,SENSORY
422,0,0,1,SENSORY
423,0,-0.917052,1,SENSORY
424,0,0,1,SENSORY
425,0,0,1,SENSORY
426,0,-0.0281839,1,SENSORY
427,0,0,1,SENSORY
428,0,-0.917052,1,SENSORY
429,0,-0.917052,1,SENSORY
430,0,-0.917052,1,SENSORY
431,0,0,1,SENSORY
432,0,-0.928145,1,SENSORY
433,0,0,1,SENSORY
434,0,-0.917052,1,SENSORY
435,0,0,1,SENSORY
436,0,-0.917052,1,SENSORY
437,0,0,1,SENSORY
438,0,0,1,SENSORY
439,0,-1.8341,1,SENSORY
440,0,-0.961139,1,SENSORY
441,0,-0.961139,1,SENSORY
442,0,-0.917052,1,SENSORY
443,0,-0.0281839,1,SENSORY
444,0,-0.961139,1,SENSORY
445,0,0,1,SENSORY
446,0,0,1,SENSORY
447,0,0,1,SENSORY
448,0,-0.917052,1,SENSORY
449,0,0,1,SENSORY
450,0,-0.917052,1,SENSORY
451,0,-0.917052,1,SENSORY
452,0,0,1,SENSORY
453,0,-0.917052,1,SENSORY
454,0,0,1,SENSORY
455,0,-0.917052,1,SENSORY
456,0,0,1,SENSORY
457,0,0,1,SENSORY
458,0,0,1,SENSORY
459,0,-0.917052,1,SENSORY
460,0,0,1,SENSORY
461,0,-0.0281839,1,SENSORY
462,0,-0.961139,1,SENSORY
463,0,-0.917052,1,SENSORY
464,0,-0.0281839,1,SENSORY
465,0,-0.961139,1,SENSORY
466,0,-0.917052,1,SENSORY
467,0,-1.01208,1,SENSORY
468,0,0,1,SENSORY
469,0,-0.917052,1,SENSORY
470,0,0,1,SENSORY
471,0,0,1,SENSORY
472,0,-0.917052,1,SENSORY
473,0,-0.917052,1,SENSORY
474,0,-0.0281839,1,SENSORY
475,0,-0.0329936,1,SENSORY
476,0,-0.0281839,1,SENSORY
477,0,-1.8341,1,SENSORY
478,0,-0.961139,1,SENSORY
479,0,-0.961139,1,SENSORY
480,0,-0.917052,1,SENSORY
481,0,0,1,SENSORY
482,0,-0.917052,1,SENSORY
483,0,-0.917052,1,SENSORY
484,0,-1.8341,1,SENSORY
485,0,-0.0281839,1,SENSORY
486,0,-0.0281839,1,SENSORY
487,0,-0.961139,1,SENSORY
488,0,-0.961139,1,SENSORY
489,0,-0.917052,1,SENSORY
490,0,0,1,SENSORY
491,0,0,1,SENSORY
492,0,0,1,SENSORY
493,0,0,1,SENSORY
494,0,-0.961139,1,SENSORY
495,0,-0.917052,1,SENSORY
496,0,-0.0281839,1,SENSORY
497,0,-0.917052,1,SENSORY
498,0,-0.961139,1,SENSORY
499,0,-0.917052,1,SENSORY
500,0,-0.917052,1,SENSORY
501,0,0,1,SENSORY
502,0,0,1,SENSORY
503,0,-0.961139,1,SENSORY
504,0,-1.8341,1,SENSORY
505,0,0,1,SENSORY
506,0,-0.917052,1,SENSORY
507,0,-1.8341,1,SENSORY
508,0,0,1,SENSORY
509,0,0,1,SENSORY
510,0,0,1,SENSORY
511,0,-0.961139,1,SENSORY
512,0,0,1,SENSORY
513,0,-0.0281839,1,SENSORY
514,0,0,1,SENSORY
515,0,0,1,SENSORY
516,0,-0.961139,1,SENSORY
517,0,-0.961139,1,SENSORY
518,0,-0.0281839,1,SENSORY
519,0,-0.917052,1,SENSORY
520,0,0,1,SENSORY
521,0,0,1,SENSORY
522,0,-0.917052,1,SENSORY
523,0,0,1,SENSORY
524,0,-0.917052,1,SENSORY
525,0,0,1,SENSORY
526,0,-0.917052,1,SENSORY
527,0,0,1,SENSORY
528,0,-0.950045,1,SENSORY
529,0,-0.917052,1,SENSORY
530,0,0,1,SENSORY
531,0,-0.961139,1,SENSORY
532,0,-0.961139,1,SENSORY
533,0,-0.0281839,1,SENSORY
534,0,-0.917052,1,SENSORY
535,0,-0.0281839,1,SENSORY
536,0,0,1,SENSORY
537,0,-0.961139,1,SENSORY
538,0,-0.928145,1,SENSORY
539,0,-0.961139,1,SENSORY
540,0,0,1,SENSORY
541,0,0,1,SENSORY
542,0,-0.0281839,1,SENSORY
543,0,-0.917052,1,SENSORY
544,0,-0.917052,1,SENSORY
545,0,-0.961139,1,SENSORY
546,0,-0.0281839,1,SENSORY
547,0,-0.0281839,1,SENSORY
548,0,-0.961139,1,SENSORY
549,0,-1.8341,1,SENSORY
550,0,-0.961139,1,SENSORY
551,0,0,1,SENSORY
552,0,-0.0281839,1,SENSORY
553,0,-0.917052,1,SENSORY
554,0,-0.0281839,1,SENSORY
555,0,0,1,SENSORY
556,0,0,1,SENSORY
557,0,-1.01208,1,SENSORY
558,0,-0.917052,1,SENSORY
559,0,-0.917052,1,SENSORY
560,0,-0.917052,1,SENSORY
561,0,-0.917052,1,SENSORY
562,0,0,1,SENSORY
563,0,-0.0281839,1,SENSORY
564,0,0,1,SENSORY
565,0,-0.0281839,1,SENSORY
566,0,-0.917052,1,SENSORY
567,0,-0.928145,1,SENSORY
568,0,-0.917052,1,SENSORY
569,0,-0.917052,1,SENSORY
570,0,-0.928145,1,SENSORY
571,0,-0.917052,1,SENSORY
572,0,-0.961139,1,SENSORY
573,0,0,1,SENSORY
574,0,0,1,SENSORY
575,0,-0.961139,1,SENSORY
576,0,0,1,SENSORY
577,0,-0.961139,1,SENSORY
578,0,-1.8341,1,SENSORY
579,0,-1.8341,1,SENSORY
580,0,-0.0281839,1,SENSORY
581,0,-0.0281839,1,SENSORY
582,0,0,1,SENSORY
583,0,-0.961139,1,SENSORY
584,0,-0.961139,1,SENSORY
585,0,0,1,SENSORY
586,0,0,1,SENSORY
587,0,-0.917052,1,SENSORY
588,0,-1.8341,1,SENSORY
589,0,-0.917052,1,SENSORY
590,0,-1.8341,1,SENSORY
591,0,-0.961139,1,SENSORY
592,0,0,1,SENSORY
593,0,-0.917052,1,SENSORY
594,0,0,1,SENSORY
595,0,-0.0281839,1,SENSORY
596,0,-0.0281839,1,SENSORY
597,0,-0.0281839,1,SENSORY
598,0,0,1,SENSORY
599,0,-0.961139,1,SENSORY
600,0,-0.917052,1,SENSORY
601,0,-0.961139,1,SENSORY
602,0,0,1,SENSORY
603,0,-0.961139,1,SENSORY
604,0,-0.917052,1,SENSORY
605,0,-0.917052,1,SENSORY
