step,spikes,is_inject_step,byte,nmda_sum,nmda_nz,xpre_sum,xpre_nz,ca_sum,ca_nz,weight_sum,weight_abs_sum
56,0,0,0,541.7953,47130,22615.0352,1477819,2048.0146,1477819,1777397.8750,2962719.7500
57,0,0,0,535.9562,47130,21512.0879,1477819,2091.4702,1477819,1777397.8750,2962719.7500
58,0,0,0,530.4180,47130,20462.9316,1477819,2133.0957,1477819,1777397.8750,2962719.7500
59,0,0,0,525.1462,47130,19464.9414,1477819,2172.9832,1477819,1777397.8750,2962719.7500
60,2199,1,6,620.6641,47301,31050.3457,1566294,2227.5620,1566294,1777397.8750,2962719.7500
61,0,0,0,631.8962,47301,29536.0039,1566294,2283.7434,1566294,1777397.8750,2962719.7500
62,0,0,0,624.8110,47301,28095.5156,1566294,2337.5117,1566294,1777397.8750,2962719.7500
63,0,0,0,617.3077,47301,26725.2832,1566294,2388.8394,1566294,1777397.8750,2962719.7500
64,0,0,0,610.2681,47301,25421.8770,1566294,2437.8777,1566294,1777397.8750,2962719.7500
65,0,0,0,603.6332,47301,24182.0371,1566294,2484.7610,1566294,1777397.8750,2962719.7500
66,0,0,0,597.3530,47301,23002.6660,1566294,2529.6086,1566294,1777397.8750,2962719.7500
67,0,0,0,591.3845,47301,21880.8145,1566294,2572.5269,1566294,1777397.8750,2962719.7500
68,0,0,0,585.6909,47301,20813.6738,1566294,2613.6116,1566294,1777397.8750,2962719.7500
69,0,0,0,580.2407,47301,19798.5801,1566294,2652.9497,1566294,1777397.8750,2962719.7500
70,2170,1,7,672.5095,47442,31194.1621,1640059,2706.4463,1640059,1777397.8750,2962719.7500
71,0,0,0,685.6010,47442,29672.8066,1640059,2761.9814,1640059,1777397.8750,2962719.7500
72,0,0,0,678.1808,47442,28225.6465,1640059,2815.0635,1640059,1777397.8750,2962719.7500
73,0,0,0,670.2219,47442,26849.0664,1640059,2865.6392,1640059,1777397.8750,2962719.7500
74,0,0,0,662.7433,47442,25539.6230,1640059,2913.8657,1640059,1777397.8750,2962719.7500
75,0,0,0,655.6836,47442,24294.0410,1640059,2959.8806,1640059,1777397.8750,2962719.7500
76,0,0,0,648.9907,47442,23109.2070,1640059,3003.8069,1640059,1777397.8750,2962719.7500
77,0,0,0,642.6202,47442,21982.1602,1640059,3045.7539,1640059,1777397.8750,2962719.7500
78,0,0,0,636.5342,47442,20910.0781,1640059,3085.8203,1640059,1777397.8750,2962719.7500
79,0,0,0,630.6998,47442,19890.2812,1640059,3124.0955,1640059,1777397.8750,2962719.7500
80,2200,1,8,719.8699,47574,31458.6914,1698000,3176.2117,1698000,1777397.8750,2962719.7500
81,0,0,0,730.3378,47574,29924.4336,1698000,3229.8574,1698000,1777397.8750,2962719.7500
82,0,0,0,722.8586,47574,28465.0020,1698000,3281.0898,1698000,1777397.8750,2962719.7500
83,0,0,0,714.6870,47574,27076.7480,1698000,3329.8223,1698000,1777397.8750,2962719.7500
84,0,0,0,706.9911,47574,25756.2012,1698000,3376.2102,1698000,1777397.8750,2962719.7500
85,0,0,0,699.7096,47574,24500.0566,1698000,3420.3904,1698000,1777397.8750,2962719.7500
86,0,0,0,692.7901,47574,23305.1758,1698000,3462.4844,1698000,1777397.8750,2962719.7500
87,0,0,0,686.1885,47574,22168.5703,1698000,3502.6003,1698000,1777397.8750,2962719.7500
88,0,0,0,679.8669,47574,21087.3965,1698000,3540.8357,1698000,1777397.8750,2962719.7500
89,0,0,0,673.7933,47574,20058.9531,1698000,3577.2788,1698000,1777397.8750,2962719.7500
90,2234,1,9,760.5294,47679,31814.2559,1746633,3627.2583,1746633,1777397.8750,2962719.7500
91,0,0,0,770.0381,47679,30262.6582,1746633,3678.6248,1746633,1777397.8750,2962719.7500
92,0,0,0,762.4665,47679,28786.7305,1746633,3727.6160,1746633,1777397.8750,2962719.7500
93,0,0,0,754.0416,47679,27382.7871,1746633,3774.1104,1746633,1777397.8750,2962719.7500
94,0,0,0,746.0981,47679,26047.3125,1746633,3818.2646,1746633,1777397.8750,2962719.7500
95,0,0,0,738.5726,47679,24776.9707,1746633,3860.2163,1746633,1777397.8750,2962719.7500
96,0,0,0,731.4119,47679,23568.5840,1746633,3900.0872,1746633,1777397.8750,2962719.7500
97,0,0,0,724.5706,47679,22419.1328,1746633,3937.9856,1746633,1777397.8750,2962719.7500
98,0,0,0,718.0106,47679,21325.7383,1746633,3974.0088,1746633,1777397.8750,2962719.7500
99,0,0,0,711.6991,47679,20285.6699,1746633,4008.2446,1746633,1777397.8750,2962719.7500
100,2221,1,10,792.4282,47742,31954.1074,1778891,4055.3545,1778891,1777397.8750,2962719.7500
101,0,0,0,796.3809,47742,30395.6875,1778891,4102.7266,1778891,1777397.8750,2962719.7500
102,0,0,0,789.2151,47742,28913.2734,1778891,4147.8994,1778891,1777397.8750,2962719.7500
103,0,0,0,781.0062,47742,27503.1582,1778891,4190.7065,1778891,1777397.8750,2962719.7500
104,0,0,0,773.2400,47742,26161.8125,1778891,4231.2935,1778891,1777397.8750,2962719.7500
105,0,0,0,765.8561,47742,24885.8867,1778891,4269.7876,1778891,1777397.8750,2962719.7500
106,0,0,0,758.8041,47742,23672.1895,1778891,4306.3018,1778891,1777397.8750,2962719.7500
107,0,0,0,752.0418,47742,22517.6836,1778891,4340.9346,1778891,1777397.8750,2962719.7500
108,0,0,0,745.5336,47742,21419.4844,1778891,4373.7764,1778891,1777397.8750,2962719.7500
109,0,0,0,739.2495,47742,20374.8438,1778891,4404.9082,1778891,1777397.8750,2962719.7500
110,2222,1,11,816.4205,47802,32042.5020,1805887,4448.4292,1805887,1777397.8750,2962719.7500
111,0,0,0,820.1099,47802,30479.7715,1805887,4492.2334,1805887,1777397.8750,2962719.7500
112,0,0,0,813.0056,47802,28993.2559,1805887,4533.9302,1805887,1777397.8750,2962719.7500
113,0,0,0,804.7305,47802,27579.2383,1805887,4573.3223,1805887,1777397.8750,2962719.7500
114,0,0,0,796.8935,47802,26234.1836,1805887,4610.5537,1805887,1777397.8750,2962719.7500
115,0,0,0,789.4335,47802,24954.7285,1805887,4645.7490,1805887,1777397.8750,2962719.7500
116,0,0,0,782.3000,47802,23737.6738,1805887,4679.0181,1805887,1777397.8750,2962719.7500
117,0,0,0,775.4506,47802,22579.9746,1805887,4710.4585,1805887,1777397.8750,2962719.7500
118,0,0,0,768.8500,47802,21478.7363,1805887,4740.1577,1805887,1777397.8750,2962719.7500
119,0,0,0,762.4684,47802,20431.2070,1805887,4768.1934,1805887,1777397.8750,2962719.7500
120,2220,1,12,833.3218,47834,32082.6445,1825646,4807.9282,1825646,1777397.8750,2962719.7500
121,0,0,0,831.2424,47834,30517.9570,1825646,4846.7754,1825646,1777397.8750,2962719.7500
122,0,0,0,824.6812,47834,29029.5801,1825646,4883.7339,1825646,1777397.8750,2962719.7500
123,0,0,0,816.7913,47834,27613.7910,1825646,4918.5659,1825646,1777397.8750,2962719.7500
124,0,0,0,809.2929,47834,26267.0508,1825646,4951.4028,1825646,1777397.8750,2962719.7500
125,0,0,0,802.1288,47834,24985.9922,1825646,4982.3569,1825646,1777397.8750,2962719.7500
126,0,0,0,795.2520,47834,23767.4121,1825646,5011.5264,1825646,1777397.8750,2962719.7500
127,0,0,0,788.6235,47834,22608.2617,1825646,5038.9976,1825646,1777397.8750,2962719.7500
128,0,0,0,782.2115,47834,21505.6445,1825646,5064.8486,1825646,1777397.8750,2962719.7500
129,0,0,0,775.9891,47834,20456.8027,1825646,5089.1489,1825646,1777397.8750,2962719.7500
130,2224,1,13,846.8662,47857,32136.2734,1842139,5125.0371,1842139,1777397.8750,2962719.7500
131,0,0,0,846.4960,47857,30568.9707,1842139,5160.4941,1842139,1777397.8750,2962719.7500
132,0,0,0,839.8804,47857,29078.1035,1842139,5194.1211,1842139,1777397.8750,2962719.7500
133,0,0,0,831.8855,47857,27659.9492,1842139,5225.6675,1842139,1777397.8750,2962719.7500
134,0,0,0,824.2855,47857,26310.9590,1842139,5255.2642,1842139,1777397.8750,2962719.7500
135,0,0,0,817.0223,47857,25027.7578,1842139,5283.0225,1842139,1777397.8750,2962719.7500
136,0,0,0,810.0483,47857,23807.1406,1842139,5309.0410,1842139,1777397.8750,2962719.7500
137,0,0,0,803.3243,47857,22646.0547,1842139,5333.4058,1842139,1777397.8750,2962719.7500
138,0,0,0,796.8177,47857,21541.5938,1842139,5356.1934,1842139,1777397.8750,2962719.7500
139,0,0,0,790.5019,47857,20490.9980,1842139,5377.4731,1842139,1777397.8750,2962719.7500
140,2203,1,14,856.6456,47876,32050.6602,1855274,5409.8545,1855274,1777397.8750,2962719.7500
141,0,0,0,853.4416,47876,30487.5332,1855274,5441.2524,1855274,1777397.8750,2962719.7500
142,0,0,0,847.0479,47876,29000.6387,1855274,5470.9492,1855274,1777397.8750,2962719.7500
143,0,0,0,839.1986,47876,27586.2617,1855274,5498.6743,1855274,1777397.8750,2962719.7500
144,0,0,0,831.7261,47876,26240.8652,1855274,5524.5527,1855274,1777397.8750,2962719.7500
145,0,0,0,824.5733,47876,24961.0840,1855274,5548.6899,1855274,1777397.8750,2962719.7500
146,0,0,0,817.6940,47876,23743.7168,1855274,5571.1797,1855274,1777397.8750,2962719.7500
147,0,0,0,811.0501,47876,22585.7227,1855274,5592.1021,1855274,1777397.8750,2962719.7500
148,0,0,0,804.6107,47876,21484.2051,1855274,5611.5298,1855274,1777397.8750,2962719.7500
149,0,0,0,798.3499,47876,20436.4082,1855274,5629.5278,1855274,1777397.8750,2962719.7500
150,2252,1,15,862.2695,47895,32274.1934,1865893,5658.5044,1865893,1777397.8750,2962719.7500
151,0,0,0,856.5552,47895,30700.1641,1865893,5686.0073,1865893,1777397.8750,2962719.7500
152,0,0,0,850.4866,47895,29202.9004,1865893,5711.9561,1865893,1777397.8750,2962719.7500
153,0,0,0,842.8170,47895,27778.6582,1865893,5736.0439,1865893,1777397.8750,2962719.7500
154,0,0,0,835.5082,47895,26423.8789,1865893,5758.3916,1865893,1777397.8750,2962719.7500
155,0,0,0,828.5032,47895,25135.1719,1865893,5779.0991,1865893,1777397.8750,2962719.7500
156,0,0,0,821.7564,47895,23909.3145,1865893,5798.2544,1865893,1777397.8750,2962719.7500
157,0,0,0,815.2305,47895,22743.2441,1865893,5815.9336,1865893,1777397.8750,2962719.7500
158,0,0,0,808.8952,47895,21634.0449,1865893,5832.2031,1865893,1777397.8750,2962719.7500
159,0,0,0,802.7258,47895,20578.9395,1865893,5847.1240,1865893,1777397.8750,2962719.7500
160,2217,1,16,862.1713,47917,32209.7344,1874079,5872.4297,1874079,1777397.8750,2962719.7500
161,0,0,0,855.1233,47917,30638.8477,1874079,5896.0264,1874079,1777397.8750,2962719.7500
162,0,0,0,849.2895,47917,29144.5742,1874079,5918.1968,1874079,1777397.8750,2962719.7500
163,0,0,0,841.7999,47917,27723.1777,1874079,5938.6177,1874079,1777397.8750,2962719.7500
164,0,0,0,834.6555,47917,26371.1035,1874079,5957.4023,1874079,1777397.8750,2962719.7500
165,0,0,0,827.8002,47917,25084.9688,1874079,5974.6479,1874079,1777397.8750,2962719.7500
166,0,0,0,821.1893,47917,23861.5625,1874079,5990.4360,1874079,1777397.8750,2962719.7500
167,0,0,0,814.7864,47917,22697.8203,1874079,6004.8379,1874079,1777397.8750,2962719.7500
168,0,0,0,808.5623,47917,21590.8359,1874079,6017.9165,1874079,1777397.8750,2962719.7500
169,0,0,0,802.4932,47917,20537.8379,1874079,6029.7275,1874079,1777397.8750,2962719.7500
170,2200,1,17,859.8748,47927,32074.4570,1878998,6051.6919,1878998,1777397.8750,2962719.7500
171,0,0,0,852.6368,47927,30510.1680,1878998,6071.9619,1878998,1777397.8750,2962719.7500
172,0,0,0,846.9167,47927,29022.1699,1878998,6090.8926,1878998,1777397.8750,2962719.7500
173,0,0,0,839.5100,47927,27606.7422,1878998,6108.1509,1878998,1777397.8750,2962719.7500
174,0,0,0,832.4432,47927,26260.3477,1878998,6123.8486,1878998,1777397.8750,2962719.7500
175,0,0,0,825.6605,47927,24979.6152,1878998,6138.0796,1878998,1777397.8750,2962719.7500
176,0,0,0,819.1169,47927,23761.3457,1878998,6150.9224,1878998,1777397.8750,2962719.7500
